"Input","Output","Domain"
"""농구경기장 계단에 12:14 현재 4명이 있으며, 운영 기준은 9명입니다.""","농구경기장 계단에서 12:14 현재 기준 9명보다 5명 적은 4명이 감지되었습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다. 적정 수준의 인원 운영이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""저녁 10시 56분 쇼핑몰중앙에서 6명 밀집, 기준 수용인원 8명""","저녁 10시 56분 쇼핑몰중앙에서 기준 8명 범위 내에서 6명이 위치해 있습니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다. 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""실내체육관에 10:26 현재 8명이 집계되고 있으며, 기준값은 5명으로 설정되어 있습니다.""","실내체육관에서 10:26 현재 기준 5명보다 3명 많은 8명이 감지되었습니다. 인원 증가가 계속되고 있어 대기 구역 재배치가 필요합니다. 현장 인원 증가 추세가 지속됩니다.","군중 밀집 및 체류 감지"
"""13:13 클리닉에서 71명 밀집, 기준 수용인원 49명""","13:13 클리닉에서 기준 49명을 22명 초과한 71명이 있습니다. 대기 구역 재배치가 필요합니다.","군중 밀집 및 체류 감지"
"""20:32 백화점 47명 파악, 기준 39명""","20:32 백화점에서 기준 39명을 8명 초과한 47명이 대기 중입니다. 상황 변화 추이 관찰이 필요합니다.","군중 밀집 및 체류 감지"
"""오전 11시 10분 극장 80명 계측, 기준 인원 63명""","오전 11시 10분 극장에서 기준 63명을 17명 초과한 80명이 체류하고 있습니다. 안전 관리가 필요한 상황이며 혼잡 구역 분산 유도가 필요합니다. 향후 인원 집중이 예상됩니다.","군중 밀집 및 체류 감지"
"""복합문화센터에 오전 7시 51분 현재 411명이 집계되고 있으며, 기준값은 332명으로 설정되어 있습니다.""","복합문화센터에서 오전 7시 51분 현재 기준 332명을 79명 초과한 411명이 밀집되어 있습니다. 즉시 혼잡 완화 조치가 필요합니다.","군중 밀집 및 체류 감지"
"""8:29 구청 309명 계측, 기준 인원 401명""","8:29 구청에서 기준 401명 범위 내에서 309명이 체류하고 있습니다. 현재 인원 분포는 적정 수준으로 양호합니다. 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""18:42 항만터미널에서 95명 밀집, 기준 수용인원 100명""","18:42 항만터미널에서 기준 100명 범위 내에서 95명이 머물고 있습니다. 현재 인원 분포는 적정 수준으로 양호합니다. 향후에도 원활한 운영이 가능할 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""15:58 클리닉 2층 감지 인원 14명, 기준 미설정""","15:58 클리닉 2층에서 기준 미설정 상태에서 14명이 머물고 있습니다. 현장 상황 변화를 모니터링하겠습니다.","군중 밀집 및 체류 감지"
"""컨벤션센터 대기실에 오후 12시 54분 현재 472명이 집계되고 있으며, 기준값은 407명으로 설정되어 있습니다.""","컨벤션센터 대기실에서 오후 12시 54분 현재 기준 407명보다 65명 많은 472명이 위치해 있습니다. 긴급 현장 관리 조치가 필요합니다.","군중 밀집 및 체류 감지"
"""14:14 야외무대에서 45명 밀집, 기준 수용인원 30명""","14:14 야외무대에서 기준 30명을 15명 초과한 45명이 대기하고 있습니다. 현장 관리 강화가 요구되어 추가 안내 서비스가 필요합니다. 향후 인원 집중이 예상됩니다.","군중 밀집 및 체류 감지"
"""스키장 광장에 오전 6시 41분 현재 190명이 집계되고 있으며, 기준값은 92명으로 설정되어 있습니다.""","스키장 광장에서 오전 6시 41분 현재 기준 92명을 크게 초과한 190명이 대기 중입니다. 인원 증가가 계속되고 있어 안전 확보를 위한 긴급 대응이 필요합니다. 혼잡 심화가 우려됩니다.","군중 밀집 및 체류 감지"
"""우체국의 로비에 저녁 6시 12분 현재 67명이 집계되고 있으며, 기준값은 47명으로 설정되어 있습니다.""","우체국의 로비에서 저녁 6시 12분 현재 기준 47명을 20명 초과한 67명이 대기 중입니다. 추가 인원 유입이 예상되어 대기 구역 재배치가 필요합니다. 혼잡 심화가 우려됩니다.","군중 밀집 및 체류 감지"
"""경기장대기실에서 17:21 현재 18명의 사람들이 모여있으며, 적정 기준치는 10명입니다.""","경기장대기실에서 17:21 현재 기준 10명을 8명 초과한 18명이 위치해 있습니다. 추가 인원 유입이 예상되어 안내 인력 배치가 필요합니다. 현장 인원 증가 추세가 지속됩니다.","군중 밀집 및 체류 감지"
"""올림픽공원에 오후 4시 20분 현재 35명이 있습니다. 임계값 없음입니다.""","올림픽공원에서 오후 4시 20분 현재 기준 미설정 상태에서 35명이 위치해 있습니다. 인원 변화 추이를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""복합쇼핑센터에 21:34 현재 9명이 있으며, 기준값 미설정입니다.""","복합쇼핑센터에서 21:34 현재 기준 미설정 상태에서 9명이 머물고 있습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다. 인원 동향을 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""야구장의 외야석에 20:34 현재 65명이 있으며, 운영 기준은 54명입니다.""","야구장의 외야석에서 20:34 현재 기준 54명을 11명 초과한 65명이 체류하고 있습니다. 추가 인원 유입이 예상되어 대기 공간 확장이 필요합니다. 인원 집중 현상이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""11:33 병원 99명 파악, 기준 91명""","11:33 병원에서 기준 91명보다 8명 많은 99명이 감지되었습니다. 상황 변화 추이 관찰이 필요합니다.","군중 밀집 및 체류 감지"
"""대학교의 로비에서 오후 4시 6분 현재 90명의 사람들이 모여있으며, 적정 기준치는 115명입니다.""","대학교의 로비에서 오후 4시 6분 현재 기준 115명 범위 내에서 90명이 위치해 있습니다. 원활한 현장 상황이 유지되고 있어 양호합니다 향후 정상 범위 내에서 운영될 것으로 보입니다.","군중 밀집 및 체류 감지"
"""올림픽공원 2층에 오전 8시 43분 현재 90명이 집계되고 있으며, 기준값은 85명으로 설정되어 있습니다.""","올림픽공원 2층에서 오전 8시 43분 현재 기준 85명보다 5명 많은 90명이 감지되었습니다. 상황 변화 추이 관찰이 필요합니다.","군중 밀집 및 체류 감지"
"""스키장 통로에 11:39 현재 367명이 있습니다. 임계값 없음입니다.""","스키장 통로에서 11:39 현재 기준 미설정 상태에서 367명이 대기하고 있습니다. 향후 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""버스터미널의 게이트에 21:55 현재 29명이 있으며, 운영 기준은 30명입니다.""","버스터미널의 게이트에서 21:55 현재 기준 30명 범위 내에서 29명이 대기 중입니다. 현재 인원 분포는 적정 수준으로 양호합니다. 적정 수준의 인원 운영이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""농구경기장에 16:00 현재 76명이 있으며, 운영 기준은 83명입니다.""","농구경기장에서 16:00 현재 기준 83명 범위 내에서 76명이 확인되었습니다. 원활한 현장 상황이 유지되고 있어 양호합니다 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""저녁 9시 34분 리조트광장 8명 파악, 기준 15명""","저녁 9시 34분 리조트광장에서 기준 15명보다 7명 적은 8명이 있습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다 균형 잡힌 인원 분포가 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""오전 11시 11분 병원 88명 파악, 기준 65명""","오전 11시 11분 병원에서 기준 65명을 23명 초과한 88명이 모여있습니다. 대기 공간 확장이 필요합니다.","군중 밀집 및 체류 감지"
"""은행 통로에 15:15 현재 7명이 있으며, 운영 기준은 6명입니다.""","은행 통로에서 15:15 현재 기준 6명보다 1명 많은 7명이 체류하고 있습니다. 인원 밀집도가 상승하고 있어 실시간 상황 확인을 유지하겠습니다. 지속적인 관리가 필요합니다.","군중 밀집 및 체류 감지"
"""18:03 축제장 815명 계측, 기준 인원 794명""","18:03 축제장에서 기준 794명보다 21명 많은 815명이 분포해 있습니다. 추가 안내 서비스가 필요합니다.","군중 밀집 및 체류 감지"
"""복합쇼핑센터의 중앙에 18:59 현재 31명이 집계되고 있으며, 기준값은 52명으로 설정되어 있습니다.""","복합쇼핑센터의 중앙에서 18:59 현재 기준 52명보다 21명 적은 31명이 확인되었습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다 현재 운영 상태가 유지될 것으로 보입니다.","군중 밀집 및 체류 감지"
"""실내체육관 관람석에 21:39 현재 36명이 있으며, 운영 기준은 20명입니다.""","실내체육관 관람석에서 21:39 현재 기준 20명을 16명 초과한 36명이 대기하고 있습니다. 현장 관리 강화가 요구되어 대기열 정리가 필요합니다. 더욱 혼잡할 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""오전 10시 21분 월드컵경기장 대기실 409명 파악, 기준 468명""","오전 10시 21분 월드컵경기장 대기실에서 기준 468명 범위 내에서 409명이 대기하고 있습니다. 현재 인원 분포는 적정 수준으로 양호합니다 현재 상태가 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""18:46 클리닉2층 59명 계측, 기준 인원 45명""","18:46 클리닉2층에서 기준 45명을 14명 초과한 59명이 감지되었습니다. 인원 분산 안내가 필요합니다.","군중 밀집 및 체류 감지"
"""지하철역 출입구에서 22:03 현재 19명의 사람들이 모여있으며, 적정 기준치는 12명입니다.""","지하철역 출입구에서 22:03 현재 기준 12명을 7명 초과한 19명이 대기하고 있습니다. 대기 공간 확장이 필요합니다.","군중 밀집 및 체류 감지"
"""15:27 의료센터 감지 인원 17명, 기준 미설정""","15:27 의료센터에서 기준 미설정 상태에서 17명이 분포해 있습니다. 원활한 현장 상황이 유지되고 있어 양호합니다. 현장 상황을 계속 감시하겠습니다.","군중 밀집 및 체류 감지"
"""쇼핑몰 에스컬레이터에 19:50 현재 4명이 집계되고 있으며, 기준값은 6명으로 설정되어 있습니다.""","쇼핑몰 에스컬레이터에서 19:50 현재 기준 6명보다 2명 적은 4명이 대기하고 있습니다. 균형 잡힌 인원 분포로 원활한 운영이 가능합니다 현재 운영 상태가 유지될 것으로 보입니다.","군중 밀집 및 체류 감지"
"""오후 3시 51분 강의실에서 99명 밀집, 기준 수용인원 80명""","오후 3시 51분 강의실에서 기준 80명을 19명 초과한 99명이 밀집되어 있습니다. 대기열 정리가 필요합니다.","군중 밀집 및 체류 감지"
"""오전 8시 57분 대학교 출입구 249명 계측, 기준 인원 191명""","오전 8시 57분 대학교 출입구에서 기준 191명을 58명 초과한 249명이 밀집되어 있습니다. 즉시 혼잡 완화 조치가 필요합니다.","군중 밀집 및 체류 감지"
"""전시센터의 중앙에 10:20 현재 92명이 있으며, 기준값 미설정입니다.""","전시센터의 중앙에서 10:20 현재 기준 미설정 상태에서 92명이 머물고 있습니다. 인원 동향을 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""오후 4시 54분 공연장 출입구 감지 인원 81명, 기준 인원 106명""","오후 4시 54분 공연장 출입구에서 기준 106명 범위 내에서 81명이 모여있습니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다 향후 정상 범위 내에서 운영될 것으로 보입니다.","군중 밀집 및 체류 감지"
"""컨벤션센터 1층에서 9:02 현재 87명의 사람들이 모여있으며, 적정 기준치는 112명입니다.""","컨벤션센터 1층에서 9:02 현재 기준 112명 범위 내에서 87명이 집계되었습니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다 현재 운영 상태가 유지될 것으로 보입니다.","군중 밀집 및 체류 감지"
"""영화관에 6:38 현재 64명이 집계되고 있으며, 기준값은 43명으로 설정되어 있습니다.""","영화관에서 6:38 현재 기준 43명을 21명 초과한 64명이 밀집되어 있습니다. 인원 밀집도가 상승하고 있어 대기 구역 재배치가 필요합니다. 인원 집중 현상이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""12:18 시청통로 48명 파악, 기준 60명""","12:18 시청통로에서 기준 60명 범위 내에서 48명이 집계되었습니다. 원활한 현장 상황이 유지되고 있어 양호합니다 점진적인 인원 증가가 있을 수 있습니다.","군중 밀집 및 체류 감지"
"""22:10 축구경기장3층 58명 계측, 기준 인원 74명""","22:10 축구경기장3층에서 기준 74명 범위 내에서 58명이 대기 중입니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다 향후에도 원활한 운영이 가능할 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""박물관에 15:42 현재 99명이 집계되고 있으며, 기준값은 81명으로 설정되어 있습니다.""","박물관에서 15:42 현재 기준 81명을 18명 초과한 99명이 대기하고 있습니다. 인원 밀집도가 상승하고 있어 대기 구역 재배치가 필요합니다. 인원 급증이 예상됩니다.","군중 밀집 및 체류 감지"
"""학교통로에 15:27 현재 411명이 있으며, 운영 기준은 313명입니다.""","학교통로에서 15:27 현재 기준 313명을 98명 초과한 411명이 대기 중입니다. 긴급 상황 대응 체계 가동이 필요합니다.","군중 밀집 및 체류 감지"
"""18:58 문화회관 앞 43명 파악, 기준 68명""","18:58 문화회관 앞에서 기준 68명보다 25명 적은 43명이 집계되었습니다. 원활한 현장 상황이 유지되고 있어 양호합니다. 점진적인 인원 증가가 있을 수 있습니다.","군중 밀집 및 체류 감지"
"""공연장에서 6:18 현재 17명의 사람들이 모여있으며, 적정 기준치는 21명입니다.""","공연장에서 6:18 현재 기준 21명 범위 내에서 17명이 머물고 있습니다. 적절한 인원 수준으로 원활한 운영이 가능합니다 시간대별 인원 변화를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""저녁 11시 49분 복합문화센터 대기실 5명 계측, 기준 인원 3명""","저녁 11시 49분 복합문화센터 대기실에서 기준 3명보다 2명 많은 5명이 밀집되어 있습니다. 인원 분산 안내가 필요합니다.","군중 밀집 및 체류 감지"
"""21:32 호텔계단에서 320명 밀집, 기준 수용인원 267명""","21:32 호텔계단에서 기준 267명보다 53명 많은 320명이 머물고 있습니다. 추가 인원 유입이 예상되어 안전사고 예방을 위한 즉시 조치가 필요합니다. 더 많은 인원 유입이 예상됩니다.","군중 밀집 및 체류 감지"
"""14:38 법원의 통로 24명 파악, 기준 17명""","14:38 법원의 통로에서 기준 17명을 7명 초과한 24명이 확인되었습니다. 안내 인력 배치가 필요합니다.","군중 밀집 및 체류 감지"
"""항만터미널 중앙에 저녁 11시 16분 현재 375명이 집계되고 있으며, 기준값은 348명으로 설정되어 있습니다.""","항만터미널 중앙에서 저녁 11시 16분 현재 기준 348명보다 27명 많은 375명이 머물고 있습니다. 추가 인원 유입이 예상되어 인원 분산 안내가 필요합니다. 추가 인원 증가가 우려됩니다.","군중 밀집 및 체류 감지"
"""학교에 저녁 8시 50분 현재 40명이 집계되고 있으며, 기준값은 26명으로 설정되어 있습니다.""","학교에서 저녁 8시 50분 현재 기준 26명을 14명 초과한 40명이 확인되었습니다. 현장 관리 강화가 필요합니다.","군중 밀집 및 체류 감지"
"""9:28 구청 중앙에서 41명 밀집, 기준 수용인원 19명""","9:28 구청 중앙에서 기준 19명을 크게 초과한 41명이 대기하고 있습니다. 긴급 안내 인력 증원이 필요합니다.","군중 밀집 및 체류 감지"
"""18:59 쇼핑몰중앙광장에서 64명 밀집, 기준 수용인원 89명""","18:59 쇼핑몰중앙광장에서 기준 89명 범위 내에서 64명이 확인되었습니다. 적정 수준에서 운영되고 있어 현재 상황은 양호합니다 현재 상태가 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""전통시장 계단에 23:11 현재 382명이 집계되고 있으며, 기준값은 348명으로 설정되어 있습니다.""","전통시장 계단에서 23:11 현재 기준 348명보다 34명 많은 382명이 있습니다. 즉시 혼잡 완화 조치가 필요합니다.","군중 밀집 및 체류 감지"
"""놀이공원에서 07:00 현재 98명의 사람들이 모여있으며, 적정 기준치는 89명입니다.""","놀이공원에서 07:00 현재 기준 89명보다 9명 많은 98명이 체류하고 있습니다. 현장 관리 강화가 요구되어 상황 변화 추이 관찰이 필요합니다. 추가 인원 유입 가능성이 높습니다.","군중 밀집 및 체류 감지"
"""17:44 종합병원 감지 인원 61명, 기준 인원 69명""","17:44 종합병원에서 기준 69명 범위 내에서 61명이 체류하고 있습니다. 여유있는 상황이 지속되고 있어 현재 운영 상태는 양호합니다 향후에도 원활한 운영이 가능할 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""7:16 항만터미널 광장에서 45명 밀집, 기준 수용인원 26명""","7:16 항만터미널 광장에서 기준 26명을 19명 초과한 45명이 체류하고 있습니다. 추가 안내 서비스가 필요합니다.","군중 밀집 및 체류 감지"
"""콘서트홀의 관람석에서 6:31 현재 50명의 사람들이 모여있으며, 적정 기준치는 42명입니다.""","콘서트홀의 관람석에서 6:31 현재 기준 42명보다 8명 많은 50명이 대기하고 있습니다. 인원 밀집도가 상승하고 있어 실시간 상황 확인을 유지하겠습니다. 지속적인 관리가 필요합니다.","군중 밀집 및 체류 감지"
"""23:01 극장1층 4명 계측, 기준 인원 3명""","23:01 극장1층에서 기준 3명보다 1명 많은 4명이 대기 중입니다. 현장 관리 강화가 요구되어 혼잡 구역 분산 유도가 필요합니다. 혼잡도 증가가 예상됩니다.","군중 밀집 및 체류 감지"
"""영화관에서 오후 5시 33분 현재 15명의 사람들이 모여있으며, 적정 기준치는 23명입니다.""","영화관에서 오후 5시 33분 현재 기준 23명보다 8명 적은 15명이 밀집되어 있습니다. 적절한 인원 수준으로 원활한 운영이 가능합니다 적정 수준의 인원 운영이 지속될 것으로 예상됩니다.","군중 밀집 및 체류 감지"
"""컨벤션센터에 21:09 현재 46명이 있으며, 운영 기준은 21명입니다.""","컨벤션센터에서 21:09 현재 기준 21명을 크게 초과한 46명이 감지되었습니다. 긴급 안내 인력 증원이 필요합니다.","군중 밀집 및 체류 감지"
"""19:10 은행앞 60명 파악, 기준 35명""","19:10 은행앞에서 기준 35명을 크게 초과한 60명이 대기하고 있습니다. 현장 관리 강화가 요구되어 대기 구역 재배치가 필요합니다. 추가 인원 유입 가능성이 높습니다.","군중 밀집 및 체류 감지"
"""08:45 워터파크의 중앙에서 67명 파악, 기준값 없음입니다.""","08:45 워터파크의 중앙에서 기준 미설정 상태에서 67명이 집계되었습니다. 인원 변화 추이를 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""문화회관1층에 오전 8시 18분 현재 170명이 있으며, 운영 기준은 76명입니다.""","문화회관1층에서 오전 8시 18분 현재 기준 76명을 크게 초과한 170명이 집계되었습니다. 즉각적인 안전 조치가 필수입니다.","군중 밀집 및 체류 감지"
"""고속터미널에 오후 1시 2분 현재 437명이 있으며, 운영 기준은 346명입니다.""","고속터미널에서 오후 1시 2분 현재 기준 346명을 91명 초과한 437명이 확인되었습니다. 즉각적인 위험 관리 조치가 필수입니다.","군중 밀집 및 체류 감지"
"""대형마트의 로비에 오전 8시 11분 현재 16명이 있으며, 운영 기준은 14명입니다.""","대형마트의 로비에서 오전 8시 11분 현재 기준 14명보다 2명 많은 16명이 모여있습니다. 인원 증가가 계속되고 있어 상황 변화 추이 관찰이 필요합니다. 혼잡 심화가 우려됩니다.","군중 밀집 및 체류 감지"
"""저녁 9시 4분 경기장 입구 감지 인원 56명, 기준 미설정""","저녁 9시 4분 경기장 입구에서 기준 미설정 상태에서 56명이 밀집되어 있습니다. 인원 증감을 지속 관찰하겠습니다.","군중 밀집 및 체류 감지"
"""야구장에 오전 7시 47분 현재 66명이 집계되고 있으며, 기준값은 46명으로 설정되어 있습니다.""","야구장에서 오전 7시 47분 현재 기준 46명을 20명 초과한 66명이 확인되었습니다. 인원 증가가 계속되고 있어 인원 분산 안내가 필요합니다. 더 많은 인원 유입이 예상됩니다.","군중 밀집 및 체류 감지"
