"Input","Output","Domain"
"오후 6시 45분에 환자 2명이 역방향 섞임하며 0.9m 유지했습니다, 기준 1.9m","오후 6시 45분에 환자 2명이 확인되었습니다. 정렬 상태에 대한 지속적인 모니터링이 필요합니다. 기준 1.9m 범위에서 정상 정렬 상태입니다. 반복 시 점검을 권장합니다.","줄 서기 및 대기열 정렬 상태 감지"
"오전 2시 5분에 학생 4명이 병렬 정렬하며 1.8m 유지했습니다, 기준: 1.5m","오전 2시 5분에 학생 4명이 확인되었습니다. 기준 1.5m를 0.3m 초과하여 정렬 이상으로 판단됩니다. 즉각적인 정렬 조치가 필요합니다.","줄 서기 및 대기열 정렬 상태 감지"
"푸드코트에서 오전 2시 39분에 환자 2명이 일정한 간격 유지 0.9m, 기준: 2.3m","푸드코트에서 오전 2시 39분에 환자 2명이 감지되었습니다. 기준치 2.3m 내에서 양호한 정렬을 유지하고 있습니다. 향후 반복 발생 시 점검이 권장됩니다.","줄 서기 및 대기열 정렬 상태 감지"
"컴퓨터학원에서 09:22에 환자 2명이 밀집 10초, 기준 2초","컴퓨터학원에서 09:22에 환자 2명이 10초동안 밀집이 발견되었습니다. 기준 2초를 8초 초과하여 정렬 이상으로 판단됩니다. 측정된 정렬 상태가 기준치를 초과한 원인 분석이 필요합니다. 보안요원은 즉시 점검하세요.","줄 서기 및 대기열 정렬 상태 감지"
"14:21에 고객 3명이 일정 방향 정렬하며 6초 유지했습니다, 기준 미설정","14:21에 고객 3명이 감지되었습니다. 기준이 정의되지 않아 추가 판단이 불가한 상황입니다. 기준치가 설정되지 않아 추가 판단이 불가한 상황입니다.","줄 서기 및 대기열 정렬 상태 감지"
"07:54에 고객 5명이 밀집하며 0.6m 유지했습니다, 기준 없음","07:54에 고객 5명이 0.6m의 밀집이 포착되었습니다. 기준이 정의되지 않아 추가 판단이 불가한 상황입니다.","줄 서기 및 대기열 정렬 상태 감지"
"병렬 정렬이 저녁 5시 59분에 성당에서 2.7m로 감지되었습니다, 기준 2.4m","저녁 5시 59분에 성당에서 2.7m의 병렬 정렬이 감지되었습니다. 기준 2.4m를 0.3m 넘어서 비정상 정렬로 평가됩니다. 즉각적인 정렬 조치가 필요합니다.","줄 서기 및 대기열 정렬 상태 감지"
"응급실 대기실에서 23:11에 방문자 2명이 병렬 정렬 2.7m, 기준: 0.5m","응급실 대기실에서 23:11에 방문자 2명이 관측되었습니다. 기준치 0.5m를 2.2m 상회하여 정렬 문제가 감지됩니다. 행동 패턴이 지속적으로 발생한 것으로 확인됩니다. 보안요원의 즉시 점검이 필요합니다.","줄 서기 및 대기열 정렬 상태 감지"
"시험장 입구에서 06:29에 학생 2명이 밀집 6초, 기준: 2초","시험장 입구에서 06:29에 학생 2명이 6초동안 밀집이 포착되었습니다. 기준치 2초를 4초 상회하여 정렬 문제가 감지됩니다. 보안요원의 즉시 점검이 필요합니다.","줄 서기 및 대기열 정렬 상태 감지"
"기준: 4초, 02:14에 승객 2명이 흐트러짐 후 8초 유지했습니다","02:14에 승객 2명이 8초동안 흐트러짐이 확인되었습니다. 기준 4초를 4초 넘어서 비정상 정렬로 평가됩니다. 보안요원의 즉시 점검이 필요합니다.","줄 서기 및 대기열 정렬 상태 감지"
