"Input","Output","Domain"
"21:39 공장 신원미상자 3명 42초간 출입, 허용 기준 27초","21:39 공장에서 신원미상자 3명이 42초간 머물러 있는 상황입니다. 허용 기준 27초를 15초나 넘어서 위험 상태로 판단됩니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"학교 05:28 행인 3명 28초간 체류, 표준 24초","학교에서 행인 3명이 05:28 28초간 머물렀습니다. 표준 24초를 4초 초과하여 내일 오전에 유사한 상황이 발생할 수 있습니다. 내일 같은 시간대 해당 구역 집중 감시가 필요합니다.","폐쇄시간 무단 출입 감지"
"상점 오후 10시 18분 신원미상자 4명 50초간 출입, 평상시 39초","상점에서 신원미상자 4명이 오후 10시 18분 50초간 출입을 시도하고 있습니다. 평상시 39초를 11초나 넘어서 경고 상태로 분류됩니다. 강화된 대응이 필요한 상황입니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"무단침입자 2명 오전 1시 02분 오피스텔 31초간 출입, 기준값 23초","무단침입자 2명이 오전 1시 02분 오피스텔에서 31초간 머물렀습니다. 기준값 23초를 8초 초과하여 경고가 발령되었습니다. 담당팀의 현장 출동이 필요합니다.","폐쇄시간 무단 출입 감지"
"신원미상자 4명 오전 3시 53분 호텔 엘리베이터 63초간 체류, 표준 60초","신원미상자 4명이 오전 3시 53분 호텔에서 63초간 출입했습니다. 표준 60초보다 3초 더 머물러 약간의 주의가 필요한 상태로 판단됩니다. 해당 구역을 기본적으로 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오후 10시 11분 오피스텔 의심 인물 3명 38초간 체류, 표준 26초","오후 10시 11분 오피스텔에서 의심 인물 3명이 38초간 머물러 있는 것이 감지되었습니다. 표준 26초를 12초나 넘어서 위험 상태로 판단됩니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"의심 인물 1명이 01:49 치과에서 24초간 출입하고 있습니다, 허용 기준 19초","의심 인물 1명이 01:49 치과에서 24초간 머물렀습니다. 허용 기준 19초보다 5초 더 머물러 주의가 필요한 상태로 확인되었습니다. 기본적인 대응이 필요한 상황입니다. 해당 구역을 점검해주세요.","폐쇄시간 무단 출입 감지"
"병원에서 외부인 1명이 오전 6시 55분 52초간 체류하고 있습니다, 기준값 44초","병원에서 외부인 1명이 오전 6시 55분 52초간 활동하는 것이 확인되었습니다. 기준값 44초를 8초 초과하여 경고 상태로 분류됩니다. 강화된 보안 조치가 필요한 상황입니다. 즉시 현장 점검을 실시해주세요.","폐쇄시간 무단 출입 감지"
"03:33 창고 입구 신원미상자 5명 19초간 출입, 일반 기준 14초","03:33 창고에서 신원미상자 5명이 19초간 체류했습니다. 일반 기준 14초보다 5초 더 머물러 주의가 필요한 것으로 판단됩니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"외부인 2명 오후 11시 06분 창고 A동 57초간 출입, 표준 43초","외부인 2명이 오후 11시 06분 창고에서 57초간 접근해 온 것으로 나타났습니다. 표준 43초를 14초나 넘어서 경계 상태로 확인되었습니다. 보안 시스템 점검과 감시 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"새벽 12시 27분 학교 화장실에서 침입자 5명이 45초간 체류하고 있습니다, 일반 기준 49초","새벽 12시 27분 학교에서 침입자 5명이 45초간 출입하고 있습니다. 일반 기준 49초 내에서 정상적인 출입 활동으로 평가됩니다. 정상적인 상황이므로 안심하셔도 됩니다.","폐쇄시간 무단 출입 감지"
"00:39 학교 화장실 외부인 2명 27초간 침입, 허용 기준 20초","00:39 학교에서 외부인 2명이 27초간 출입하고 있습니다. 보안 담당자가 현장을 확인해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"호텔 새벽 12시 33분 행인 2명 52초간 침입, 허용 기준 43초","호텔에서 행인 2명이 새벽 12시 33분 52초간 출입을 시도하고 있습니다. 담당팀의 현장 출동이 필요합니다.","폐쇄시간 무단 출입 감지"
"02:08 공장 사무실에서 무단침입자 1명이 40초간 체류하고 있습니다, 기준값 33초","02:08 공장에서 무단침입자 1명이 40초간 침입을 시도 중입니다. 기준값 33초를 7초 초과하여 내일 동시간대에 추가 침입 위험이 있습니다. 새벽시간대 특별 경계를 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"연구소에서 행인 4명이 오전 4시 50분 40초간 출입하고 있습니다, 일반 기준 34초","연구소에서 행인 4명이 오전 4시 50분 40초간 머물렀습니다. 일반 기준 34초를 6초 초과하여 주의가 필요한 것으로 판단됩니다. 현장 담당자에게 연락해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"23:13 창고에서 침입자 3명이 28초간 출입하고 있습니다, 기준값 13초","23:13 창고에서 침입자 3명이 28초간 체류했습니다. 기준값 13초를 15초나 넘어서 위험 상태로 판단됩니다. 경고 상황으로 판단되는 상황입니다. 출입 통제를 강화해주세요.","폐쇄시간 무단 출입 감지"
"상점 입구 오전 3시 32분 의심 인물 1명 27초간 출입, 정상 기준 22초","상점에서 의심 인물 1명이 오전 3시 32분 27초간 머물렀습니다. 정상 기준 22초보다 5초 더 머물러 경계가 필요한 것으로 나타났습니다. 상황 점검을 위해 현장에 가주세요.","폐쇄시간 무단 출입 감지"
"침입자 4명 오전 3시 58분 창고 입구 36초간 출입, 표준 40초","침입자 4명이 오전 3시 58분 창고에서 36초간 무단 출입을 시도했습니다. 표준 40초 내에서 특별한 조치는 필요하지 않을 것으로 판단됩니다.","폐쇄시간 무단 출입 감지"
"무단침입자 4명이 08:48 연구소에서 10초간 침입하고 있습니다, 기준값 6초","무단침입자 4명이 08:48 연구소에서 10초간 침입을 시도하고 있습니다. 상황 점검을 위해 현장에 가주세요.","폐쇄시간 무단 출입 감지"
"외부인 4명 오후 7시 58분 학교 교실 43초간 침입, 기준값 28초","외부인 4명이 오후 7시 58분 학교에서 43초간 무단 출입을 시도했습니다. 담당팀의 현장 출동이 필요합니다.","폐쇄시간 무단 출입 감지"
"연구소 로비 오전 6시 18분 행인 1명 38초간 침입, 일반 기준 30초","연구소에서 행인 1명이 오전 6시 18분 38초간 체류하는 것이 확인되었습니다. 일반 기준 30초를 8초 초과하여 위험이 감지되었습니다. 즉시 현장 점검을 실시해주세요.","폐쇄시간 무단 출입 감지"
"치과 04:16 침입자 5명 49초간 출입, 정상 기준 44초","치과에서 침입자 5명이 04:16 49초간 접근했습니다. 정상 기준 44초를 5초 초과하여 동일한 문제가 다시 발생할 가능성이 높습니다. 12시간 이내에 동일한 패턴의 접근이 예상됩니다. 몇 시간 후를 위한 경비원 추가 배치가 필요합니다.","폐쇄시간 무단 출입 감지"
"상점 창고 07:22 신원미상자 1명 63초간 체류, 정상 기준 60초","창고에서 신원미상자 1명이 07:22 63초간 활동하는 것이 확인되었습니다. 정상 기준 60초를 3초 초과하여 8시간 후 동일한 상황이 재발할 수 있습니다. 내일 같은 시간대 해당 구역 집중 감시가 필요합니다.","폐쇄시간 무단 출입 감지"
"오전 1시 07분 호텔에서 행인 1명이 54초간 침입하고 있습니다, 표준 42초","오전 1시 07분 호텔에서 행인 1명의 54초간 움직임이 관찰되었습니다. 표준 42초를 12초나 넘어서 위험한 상태로 평가되었습니다. 강화된 보안 조치가 필요한 상황입니다. 현장 보안 강화가 필요합니다.","폐쇄시간 무단 출입 감지"
"공장에서 의심 인물 3명이 오후 8시 11분 38초간 체류하고 있습니다, 표준 30초","공장에서 의심 인물 3명이 오후 8시 11분 38초간 머물렀습니다. 표준 30초를 8초 초과하여 위험이 감지되었습니다. 경비원이 현장 확인을 실시해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오전 1시 36분 호텔 주차장에서 침입자 4명이 53초간 체류하고 있습니다, 일반 기준 48초","오전 1시 36분 호텔에서 침입자 4명의 53초간 움직임이 관찰되었습니다. 향후 12시간 출입 통제를 점검해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
"오후 9시 48분 창고 B동 행인 2명 45초간 출입, 허용 기준 41초","오후 9시 48분 창고에서 행인 2명이 45초간 침입을 시도 중입니다. 보안 담당자가 현장을 확인해주시기 바랍니다.","폐쇄시간 무단 출입 감지"
