Input,Output,Domain
"오전 7시 25분 근로자 5명 건설현장 크레인 하부, 3초간 집단 작업, 기준 1초","건설현장 크레인 하부에서 오전 7시 25분 근로자 5명이 3초간 집단 작업하여 기준 1초를 2초 초과했어요. 크레인 운행 중인 시간대로 현장 안전관리자는 작업자들을 즉시 안전구역으로 이동시키고 운전자와의 신호 체계를 재점검해주세요.","위험구역 접근 행위 감지"
"오전 11시 14분 근로자 1명 도로공사 5초간 침범, 기준 3초","5초간 침범한 상황은 기준 3초보다 2초 길어진 위험 상태예요. 오전 11시 14분 도로공사에서 감지된 근로자에 대해 현장 관리자는 즉시 안전점검을 실시하고 작업자에게 주의를 줘주세요.","위험구역 접근 행위 감지"
"8초간 접근한 학생 1명이 오전 9시 44분 학교 옥상에서 감지되었습니다, 기준 5초","오전 9시 44분에 발생한 학교 옥상 접근 사건을 분석한 결과, 학생 1명이 8초간 머물러 기준 5초보다 3초 길어졌어요. 교사는 즉시 학생을 지도하고 보호자 연락을 취해주세요.","위험구역 접근 행위 감지"
"정오 12시 15분 지게차 1대, 냉동창고 암모니아 누출 경계선, 4초간 접근했어요, 임계값 2초","임계값 2초를 2초 초과한 위험상황이에요. 정오 12시 15분 냉동창고 암모니아 누출 경계선에서 지게차 1대가 4초간 접근했으며, 창고 관리팀은 즉시 환기설비를 가동하고 운전자에게 안전거리 이동을 지시하세요.","위험구역 접근 행위 감지"
"08:15 대학교 실험실 방사선 경고구역에서 학생 1명이 6초간 접근했어요, 경보설정 5초","오전 8시 15분 대학교 실험실 방사선 경고구역에서 학생 1명이 6초간 접근했어요. 경보설정 5초보다 1초 길어진 상황으로, 실험실 관리자는 해당 학생에게 즉시 안전교육을 실시하고 출입권한을 재검토해주세요.","위험구역 접근 행위 감지"
"기준 없음, 외부인 2명 발전소 4초간 진입 15:21","기준이 미설정된 구간에서 4초간 진입이 확인되었어요. 오후 3시 21분 발전소에서 외부인 2명의 접근은 즉각적인 조치가 불필요하지만, 반복 시 보안팀 점검이 필요해요.","위험구역 접근 행위 감지"
"오후 3시 18분 시민 1명이 지하철 선로를 3초간 넘었습니다, 임계값은 2초입니다.","위험한 상황이 감지됐습니다. 측정된 3초는 임계값 2초보다 1초 길어져서 오후 3시 18분 지하철 선로 침범에 대해 역무원은 즉시 경고방송을 실시하시기 바랍니다.","위험구역 접근 행위 감지"
"오전 10시 33분 트럭 1대 건설현장 3초간 접근, 허용치 없음","트럭 1대의 건설현장 3초간 접근을 확인했어요. 허용치가 미설정된 구역이므로 당장의 추가 조치는 필요하지 않지만 유사 접근 시 주의가 필요해요.","위험구역 접근 행위 감지"
"물류창고 17:35, 작업자 2명이 경계선에 2초간 근접, 기준 미설정","작업자 2명의 경계선 근접이 오후 5시 35분 물류창고에서 2초간 감지되었습니다. 기준이 미설정된 상태이므로 순찰 강화로 대응해주세요.","위험구역 접근 행위 감지"
"차량 2대가 오전 10시 7분 주차장에서 3초간 접근했습니다, 기준 미설정입니다.","기준 미설정 구간에서 접근이 감지됐어요. 오전 10시 7분 주차장에서 차량 2대가 3초간 접근했지만 당장 위험하지 않으므로, 동일 차량의 반복 접근 시에만 확인하면 됩니다.","위험구역 접근 행위 감지"
"오전 8시 50분 외부인 1명 아파트 옥상 위험라인 2초간 접근, 경보설정 없음","외부인 1명이 오전 8시 50분 아파트 옥상 위험라인에서 2초간 접근했습니다. 경보설정이 없는 구역이므로 일시적 접근으로 관찰하되, 반복 발생 시 현장 점검을 실시해주세요.","위험구역 접근 행위 감지"
"건설현장에서 근로자 3명이 오후 5시 10분에 동시 4초간 진입 시도를 했습니다, 허용치 없음","동시 다발적 접근이 확인되었어요. 건설현장에서 오후 5시 10분에 근로자 3명이 4초간 동시 진입 시도했으며, 허용치가 없는 상황이므로 추가 진입 발생 시마다 소장이 직접 확인해야 해요.","위험구역 접근 행위 감지"
"포크레인 1대 창고 오후 1시 42분 6초간 접근, 기준 2초","심각한 기준 위반 상황입니다. 오후 1시 42분 창고에서 포크레인 1대가 6초간 접근하여 기준 2초보다 4초나 길어졌습니다. 운전자에게 즉시 후진 지시하고 안전점검을 실시해주세요.","위험구역 접근 행위 감지"
"14:28 지게차 2대 공항 정비구역 경계선 6초간 침범, 임계값 3초","임계값 위반 상황이 발생했어요. 오후 2시 28분 공항 정비구역 경계선에서 지게차 2대가 6초간 침범하여 임계값 3초보다 3초나 길어졌어요. 관제탑 즉시 보고 및 해당 지게차 운행 중단이 필요해요.","위험구역 접근 행위 감지"
"오전 9시 15분 병원 산소탱크 저장실 입구, 외부인 1명 경계선 넘음 4초간, 기준 없음","관찰 상태를 유지합니다. 오전 9시 15분 병원 산소탱크 저장실 입구에서 외부인 1명이 4초간 경계선을 넘었지만 기준이 미설정된 구역이므로, 오늘 오후 의료진 교대시간에는 추가 주의가 필요합니다.","위험구역 접근 행위 감지"
"댐 수문 조작실 앞 위험구역에 시민 1명이 16:05에 2초간 접근했습니다, 기준 미설정","시민 1명의 댐 수문 조작실 앞 위험구역 2초간 접근이 오후 4시 5분에 감지되었어요. 기준 미설정 구간으로 현재는 모니터링 상태를 유지하고, 동일인의 반복 접근 시 확인해야 해요.","위험구역 접근 행위 감지"
