Input,Output,Domain
"정비소 A구역 07:02 건설 기사 1명 마스크 장비 없이 제조, 기준: 마스크, 헬멧","오전 7시 2분에 정비소 A구역에서 건설 기사 1명이 마스크 장비 없이 제조 작업을 진행하고 있습니다. 마스크와 헬멧 기준 중 마스크 미착용으로 화학 분진 흡입 위험이 발생할 수 있습니다. 마스크 착용 완료 후 제조를 계속하세요.","작업자 안전장비 미착용 감지"
"점검원 1명 08:17 제조공장 A구역 헬멧 미착용 관리, 기준: 헬멧, 보안경","제조공장 A구역에서 점검원 1명이 헬멧 미착용 관리를 진행하고 있습니다. 헬멧과 보안경 기준 중 헬멧 착용 누락으로 낙하물에 의한 두부 손상 위험이 높습니다. 헬멧 착용 후 관리 작업을 계속하시기 바랍니다.","작업자 안전장비 미착용 감지"
"기준: 안전화, 마스크, 09:38 건설현장 B구역 용접공 1명 마스크 없이 절단","건설현장 B구역에서 용접공 1명이 마스크 없이 절단 작업을 진행하고 있습니다. 안전화와 마스크 기준 중 마스크 기준을 어겨 유독가스 흡입 위험이 있습니다. 마스크 착용 완료 후 절단 작업을 재개하세요.","작업자 안전장비 미착용 감지"
"기준: 장갑, 마스크, 10:51 공장 도장실 정비원 1명 장갑 없이 화학물질 취급","공장 도장실에서 정비원 1명이 장갑 없이 화학물질 취급 작업을 진행하고 있습니다. 장갑과 마스크 기준 중 장갑 미준수로 화학적 화상 위험이 매우 높습니다. 장갑 착용 후 화학물질 취급을 계속하시기 바랍니다.","작업자 안전장비 미착용 감지"
"건설현장 D동 11:06 건설 기사 1명 헬멧 장비 미비로 정비, 기준: 헬멧, 안전복","오전 11시 6분에 건설현장 D동에서 건설 기사 1명이 헬멧 장비 미비로 정비 작업을 진행합니다. 헬멧과 안전복 기준 중 헬멧 부족으로 낙하물 충돌 시 두부 외상 위험이 높습니다. 헬멧 착용 후 정비를 계속하세요.","작업자 안전장비 미착용 감지"
"12:23 발전소 A동에서 작업자 1명이 안전복 빼고 절단, 기준: 안전복, 마스크","작업자 1명이 발전소 A동에서 안전복을 빼고 절단 작업 중입니다. 안전복과 마스크 기준 중 안전복 착용하지 않아 절단 불꽃에 의한 화상 위험이 높습니다. 안전복 착용 완료 후 작업을 재개하시기 바랍니다.","작업자 안전장비 미착용 감지"
"13:47 화학공장 정제동에서 도장공 1명이 안전복 안전장비 빠뜨리고 용접, 기준: 안전복, 보안경","화학공장 정제동에서 도장공 1명이 안전복 안전장비를 빠뜨리고 용접 작업을 진행하고 있습니다. 안전복과 보안경 기준 중 안전복 빠뜨려 용접 불꽃에 의한 화상 위험이 매우 높습니다. 안전복 착용 후 용접을 계속하세요.","작업자 안전장비 미착용 감지"
"14:09 조선소 조립장에서 관리자 1명이 헬멧 장비 없이 포장, 기준: 헬멧, 마스크","조선소 조립장에서 관리자 1명이 헬멧 장비 없이 포장 작업을 진행하고 있습니다. 헬멧과 마스크 기준 중 헬멧 없이 포장재 낙하 시 두부 손상 위험이 매우 높습니다. 헬멧 착용 조치를 즉시 실시하겠습니다.","작업자 안전장비 미착용 감지"
"15:34 조선소 용접실에서 작업자 1명이 마스크 없이 타일, 기준: 마스크, 보안경","오후 3시 34분에 조선소 용접실에서 작업자 1명이 마스크 없이 타일 작업을 진행하고 있습니다. 마스크와 보안경 기준 중 마스크 규정을 지키지 않아 유독가스 흡입 위험이 발생할 수 있습니다. 마스크 착용 완료 후 작업을 재개하세요.","작업자 안전장비 미착용 감지"
"포장공 1명 16:58 발전소 터빈실 보안경 없이 제조, 기준: 보안경, 안전화","포장공 1명이 발전소 터빈실에서 보안경 없이 제조 작업을 진행하고 있습니다. 보안경과 안전화 기준 중 보안경 소홀히 하여 기계 파편에 의한 시력 손상 위험이 높습니다. 보안경 착용 후 제조를 계속하시기 바랍니다.","작업자 안전장비 미착용 감지"
"발전소 A동 17:12 작업자 1명 안전복 착용 누락 관리 작업, 기준: 안전화, 안전복","작업자 1명의 안전복 착용 누락 관리 작업이 발전소 A동에서 17:12에 확인됩니다. 안전화와 안전복 기준 중 안전복 소홀히 하여 화학 접촉 시 피부 손상 가능성이 높습니다. 안전복 착용 완료 후 작업 재개하시기 바랍니다.","작업자 안전장비 미착용 감지"
"기능공 1명 저녁 6시 41분 발전소 제어실 마스크 착용 위반 설치, 기준: 헬멧, 마스크","발전소 제어실에서 기능공 1명이 마스크 착용 위반 설치 작업을 진행하고 있습니다. 헬멧과 마스크 기준 중 마스크 규정을 위반하여 유독가스 흡입 위험이 존재합니다. 마스크 착용 점검을 즉시 실시해 주세요.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 보안경, 19:27 건설현장 A동 작업자 1명 헬멧 장비 미비로 용접","19:27에 건설현장 A동에서 작업자 1명의 헬멧 장비 미비 상황이 발견되었습니다. 헬멧과 보안경 기준 중 헬멧 착용 없이 낙하물 충격 및 두부 손상 위험성이 크니 헬멧 착용을 완료하세요. 안전 관리 개선이 시급합니다.","작업자 안전장비 미착용 감지"
"전기 기사 1명 조선소 용접실 20:03 보안경 미착용 관리, 기준: 보안경, 장갑","전기 기사 1명이 조선소 용접실에서 보안경 미착용 관리를 하는 것으로 분석됩니다. 보안경과 장갑 기준 중 보안경 소홀히 하여 용접 불꽃에 의한 시력 손상 우려가 있습니다. 보안경 착용 지도를 실시하겠습니다.","작업자 안전장비 미착용 감지"
"밤 9시 56분 공장 설비실에서 설치원 1명이 헬멧 착용 없이 청소, 기준: 장갑, 헬멧","설치원 1명의 헬멧 착용 없는 청소 작업이 공장 설비실에서 관찰되었습니다. 장갑과 헬멧 기준 중 헬멧 착용 누락으로 설비 충돌 시 머리 외상 가능성이 높습니다. 헬멧 착용 후 청소를 계속해 주십시오.","작업자 안전장비 미착용 감지"
"근로자 1명 22:14 정비소 도장실 안전화 벗은 채로 전기 작업, 기준: 장갑, 안전화","근로자 1명이 정비소 도장실에서 안전화를 벗은 채로 전기 작업을 진행하고 있습니다. 장갑과 안전화 기준 중 안전화 소홀히 하여 감전 시 발 부상 위험성이 우려됩니다. 안전화 착용 확인이 요구됩니다.","작업자 안전장비 미착용 감지"
"기준: 마스크, 안전복, 23:29 정비소 도장실 작업자 1명 안전화 착용하지 않은 상태로 전기","정비소 도장실에서 작업자 1명이 안전화를 착용하지 않은 상태로 전기 작업을 하는 것으로 파악됩니다. 마스크와 안전복 기준과 별도로 안전화 미착용으로 전기 충격 시 족부 화상 가능성이 존재합니다. 안전화 착용 조치하세요.","작업자 안전장비 미착용 감지"
"새벽 12시 42분 제조공장 품질실에서 목수 1명이 안전복 착용 없이 관리, 기준: 보안경, 안전복","목수 1명의 안전복 착용 없는 관리 작업이 새벽 12시 42분에 제조공장 품질실에서 확인됩니다. 보안경과 안전복 기준 중 안전복 규정을 위반하여 날카로운 도구에 의한 신체 손상 위험이 높습니다. 안전복 착용을 완료해 주세요.","작업자 안전장비 미착용 감지"
"타일공 1명 건설현장 A동 01:07 보안경 보호구 없이 목공, 기준: 안전복, 보안경","건설현장 A동에서 타일공 1명이 보안경 보호구 없이 목공 작업을 하는 상황입니다. 안전복과 보안경 기준 중 보안경 착용 없이 목재 파편에 의한 안구 손상 우려가 크니 보안경 착용을 즉시 조치하겠습니다.","작업자 안전장비 미착용 감지"
"기준: 안전화, 마스크, 운반원 1명 02:53 화학공장 A동 마스크 제대로 착용하지 않고 절단","02:53에 화학공장 A동에서 운반원 1명이 마스크를 제대로 착용하지 않고 절단 작업을 진행하는 것으로 확인됩니다. 안전화와 마스크 기준 중 마스크 착용 소홀히 하여 화학 분진 흡입 위험성이 높습니다. 마스크 착용 상태를 점검하세요.","작업자 안전장비 미착용 감지"
"기준: 안전화, 헬멧, 새벽 3시 18분 발전소 제어실 건설 기사 1명 헬멧 착용 위반 설치","건설 기사 1명이 새벽 3시 18분에 발전소 제어실에서 헬멧 착용 위반 설치를 진행하는 것으로 분석됩니다. 안전화와 헬멧 기준 중 헬멧 소홀히 하여 전기 충격 시 두부 손상 우려가 큽니다. 헬멧 착용 지도를 실시하겠습니다.","작업자 안전장비 미착용 감지"
"조립공 1명 04:36 정비소 작업실 안전복 보호구 없이 타일 작업, 기준: 보안경, 안전복","정비소 작업실에서 04:36에 조립공 1명의 안전복 보호구 없는 타일 작업이 관찰되었습니다. 보안경과 안전복 기준 중 안전복 착용 누락으로 화학 물질 접촉 위험성이 있습니다. 안전복 착용 후 작업을 재개해 주십시오.","작업자 안전장비 미착용 감지"
"오전 5시 49분 조선소 조립장에서 근로자 1명이 마스크 벗은 채로 건설, 기준: 헬멧, 마스크","조선소 조립장에서 근로자 1명이 마스크를 벗은 채로 건설 작업을 하는 상황입니다. 헬멧과 마스크 기준 중 마스크 규정을 어겨 유해 분진 흡입 가능성이 우려됩니다. 마스크 착용을 즉시 조치하겠습니다.","작업자 안전장비 미착용 감지"
"화학공장 A동 06:21 기술자 1명 장갑 제대로 착용하지 않고 목공, 기준: 장갑, 보안경","기술자 1명의 장갑을 제대로 착용하지 않은 목공 작업이 화학공장 A동에서 확인됩니다. 장갑과 보안경 기준 중 장갑 착용 소홀히 하여 화학적 화상 위험이 매우 높습니다. 장갑 착용 상태 점검이 요구됩니다.","작업자 안전장비 미착용 감지"
"오전 7시 44분 청소원 1명 제조공장 B블록 보안경 미착용 보수, 기준: 헬멧, 보안경","제조공장 B블록에서 청소원 1명이 보안경 미착용 보수 작업을 진행했습니다. 헬멧과 보안경 기준 중 보안경 소홀히 하여 기계 파편에 의한 시력 손상 위험이 발생할 수 있습니다. 보안경 착용 완료 후 작업 재개가 필요합니다.","작업자 안전장비 미착용 감지"
"기준: 헬멧, 안전복, 건설현장 C층 08:08 용접공 1명 안전화 착용 누락 해체","08:08에 건설현장 C층에서 용접공 1명이 안전화 착용을 누락하고 해체 작업 중입니다. 헬멧과 안전복 기준은 준수하고 있으나 안전화 미착용으로 족부 외상 위험성이 존재합니다. 안전화 착용 조치하세요.","작업자 안전장비 미착용 감지"
